nombre_hp,id_run,valor_json,dtype
max_depth,884,"{""value"": 10}",int
weight_decay,459,"{""value"": 0.00918}",float
num_epochs,708,"{""value"": 16}",int
colsample_bytree,30,"{""value"": 0.79}",float
momentum,507,"{""value"": 0.52}",float
early_stopping_rounds,537,"{""value"": 21}",int
patience,66,"{""value"": 20}",int
hidden_size,492,"{""value"": 16}",int
dropout,1065,"{""value"": 0.25}",float
num_layers,1045,"{""value"": 4}",int
loss_function,1035,"{""value"": ""mae""}",enum
min_samples_split,1451,"{""value"": 2}",int
min_samples_leaf,913,"{""value"": 3}",int
activation,581,"{""value"": ""selu""}",enum
random_seed,509,"{""value"": 90266}",int
batch_size,1455,"{""value"": 32}",int
regularization_lambda,1496,"{""value"": 0.80}",float
optimizer,848,"{""value"": ""adam""}",enum
subsample,1498,"{""value"": 0.94}",float
learning_rate,1050,"{""value"": 0.00700}",float
random_seed,48,"{""value"": 28550}",int
num_epochs,307,"{""value"": 158}",int
subsample,333,"{""value"": 0.67}",float
optimizer,157,"{""value"": ""adamw""}",enum
momentum,623,"{""value"": 0.33}",float
max_depth,1011,"{""value"": 6}",int
learning_rate,315,"{""value"": 0.00213}",float
num_layers,642,"{""value"": 9}",int
loss_function,1444,"{""value"": ""mae""}",enum
dropout,229,"{""value"": 0.47}",float
weight_decay,1128,"{""value"": 0.00225}",float
colsample_bytree,178,"{""value"": 0.73}",float
activation,879,"{""value"": ""gelu""}",enum
patience,139,"{""value"": 20}",int
regularization_lambda,668,"{""value"": 0.85}",float
hidden_size,347,"{""value"": 16}",int
min_samples_leaf,764,"{""value"": 3}",int
min_samples_split,1109,"{""value"": 20}",int
batch_size,1052,"{""value"": 64}",int
early_stopping_rounds,837,"{""value"": 16}",int
dropout,1223,"{""value"": 0.27}",float
min_samples_leaf,932,"{""value"": 8}",int
loss_function,871,"{""value"": ""mae""}",enum
min_samples_split,506,"{""value"": 9}",int
activation,1390,"{""value"": ""sigmoid""}",enum
patience,627,"{""value"": 15}",int
random_seed,1359,"{""value"": 40594}",int
optimizer,1397,"{""value"": ""sgd""}",enum
num_layers,1029,"{""value"": 3}",int
colsample_bytree,1233,"{""value"": 0.64}",float
batch_size,404,"{""value"": 128}",int
early_stopping_rounds,345,"{""value"": 49}",int
subsample,852,"{""value"": 0.54}",float
regularization_lambda,731,"{""value"": 0.25}",float
learning_rate,797,"{""value"": 0.00947}",float
