nombre_metrica,split,id_run,valor
recall,train,1,0.83
auc_roc,test,1,0.68
f1,train,1,0.75
precision,train,10,0.98
accuracy,train,10,0.89
accuracy,test,10,0.8
log_loss,test,100,1.42
auc_roc,train,100,0.98
f1,val,100,0.75
log_loss,train,1000,1.32
f1,train,1000,0.81
recall,test,1001,0.9
f1,train,1001,0.9
f1,test,1001,0.78
recall,train,1002,0.66
f1,test,1002,0.62
accuracy,test,1003,0.91
accuracy,train,1003,0.86
recall,train,1003,0.88
precision,train,1004,0.81
f1,test,1004,0.82
f1,train,1004,0.72
accuracy,val,1005,0.88
recall,train,1005,0.82
f1,train,1005,0.81
precision,val,1006,0.66
log_loss,test,1006,1.06
recall,train,1006,0.62
precision,test,1007,0.63
auc_roc,test,1007,0.63
recall,train,1008,0.73
auc_roc,test,1008,0.89
log_loss,train,1008,1.38
recall,test,1009,0.82
f1,train,1009,0.78
recall,train,1009,0.81
recall,val,101,0.68
recall,test,101,0.81
log_loss,train,101,0.72
f1,train,1010,0.7
f1,val,1010,0.72
recall,train,1010,0.61
accuracy,test,1011,0.81
auc_roc,train,1011,0.74
accuracy,val,1011,0.93
precision,train,1012,0.75
accuracy,val,1012,0.9
recall,test,1012,0.68
log_loss,test,1013,0.7
precision,train,1013,0.91
log_loss,train,1013,0.88
auc_roc,train,1014,0.93
precision,val,1014,0.7
f1,train,1014,0.69
f1,train,1015,0.75
recall,test,1015,0.72
precision,val,1015,0.98
recall,train,1016,0.64
f1,test,1016,0.84
precision,train,1017,0.76
recall,test,1017,0.98
auc_roc,train,1017,0.73
recall,train,1018,0.94
f1,test,1018,0.9
log_loss,val,1018,1.03
f1,train,1019,0.96
f1,val,1019,0.65
accuracy,test,1019,0.89
precision,val,102,0.87
accuracy,val,102,0.95
precision,test,102,0.66
log_loss,train,1020,0.41
auc_roc,test,1020,0.76
recall,val,1020,0.72
precision,train,1021,0.72
log_loss,train,1021,0.81
precision,test,1021,0.75
recall,train,1022,0.81
precision,val,1022,0.92
f1,val,1022,0.72
auc_roc,train,1023,0.7
recall,val,1023,0.85
accuracy,train,1023,0.99
precision,val,1024,0.69
log_loss,train,1024,1.16
auc_roc,val,1024,0.83
f1,test,1025,0.66
accuracy,val,1025,0.88
accuracy,train,1025,0.87
precision,test,1026,0.74
precision,train,1026,0.82
f1,train,1026,0.73
accuracy,val,1027,0.84
auc_roc,train,1027,0.6
f1,test,1027,0.89
accuracy,train,1028,0.96
recall,train,1028,0.6
f1,val,1029,0.89
accuracy,test,1029,0.81
recall,train,1029,0.85
log_loss,train,103,1.15
accuracy,val,103,0.93
recall,train,103,0.83
f1,train,1030,0.68
accuracy,train,1030,0.97
precision,val,1030,0.82
precision,val,1031,0.83
accuracy,train,1031,0.98
f1,test,1031,0.9
auc_roc,train,1032,0.96
log_loss,train,1032,1.31
accuracy,train,1032,0.81
precision,train,1033,0.72
f1,train,1033,0.79
