id_modelo,fecha_creacion,path_artefacto,stage,framework,algoritmo,id_run
1,2024-09-16 11:46:13,/artifacts/run_375/model.pkl,Monitoring,CatBoost,QDA,375
16,2024-09-16 13:21:27,/artifacts/run_463/model.onnx,Development,CatBoost,XGBoost,463
21,2024-09-16 13:47:26,/artifacts/run_512/model.pkl,Development,CatBoost,K-Nearest Neighbors,512
28,2024-09-16 14:25:55,/artifacts/run_1247/model.joblib,Deployment,CatBoost,Decision Tree,1247
40,2024-09-16 15:32:39,/artifacts/run_915/model.pkl,Deployment,CatBoost,Gaussian Mixture,915
51,2024-09-16 16:47:49,/artifacts/run_216/weights.h5,Deployment,CatBoost,KMeans,216
58,2024-09-16 17:23:17,/artifacts/run_243/model.joblib,Development,CatBoost,Decision Tree,243
70,2024-09-16 18:25:30,/artifacts/run_1382/weights.h5,Deployment,CatBoost,QDA,1382
81,2024-09-16 19:21:04,/artifacts/run_1389/model.pkl,Monitoring,CatBoost,QDA,1389
83,2024-09-16 19:26:59,/artifacts/run_1332/model.onnx,Deployment,CatBoost,Random Forest,1332
96,2024-09-16 20:45:07,/artifacts/run_508/model.joblib,Deployment,CatBoost,Logistic Regression,508
105,2024-09-16 21:34:18,/artifacts/run_616/model.pkl,Development,CatBoost,Gradient Boosting,616
113,2024-09-16 22:39:51,/artifacts/run_383/model.onnx,Development,CatBoost,K-Nearest Neighbors,383
124,2024-09-16 23:47:27,/artifacts/run_55/model.onnx,Monitoring,CatBoost,CatBoost,55
129,2024-09-17 00:20:20,/artifacts/run_1046/weights.h5,Evaluation,CatBoost,QDA,1046
142,2024-09-17 01:32:18,/artifacts/run_330/weights.h5,Deployment,CatBoost,LightGBM,330
146,2024-09-17 01:51:56,/artifacts/run_579/model.pkl,Monitoring,CatBoost,XGBoost,579
156,2024-09-17 02:43:35,/artifacts/run_38/model.pkl,Evaluation,CatBoost,Logistic Regression,38
163,2024-09-17 03:25:01,/artifacts/run_905/model.onnx,Deployment,CatBoost,Neural Network,905
180,2024-09-17 05:04:40,/artifacts/run_148/weights.h5,Development,CatBoost,KMeans,148
187,2024-09-17 05:46:22,/artifacts/run_1438/model.pkl,Evaluation,CatBoost,LDA,1438
190,2024-09-17 06:01:14,/artifacts/run_1021/weights.h5,Evaluation,CatBoost,Neural Network,1021
201,2024-09-17 06:46:43,/artifacts/run_64/weights.h5,Deployment,CatBoost,K-Nearest Neighbors,64
214,2024-09-17 08:09:27,/artifacts/run_1486/model.onnx,Evaluation,CatBoost,Support Vector Machine,1486
221,2024-09-17 08:47:03,/artifacts/run_309/model.joblib,Deployment,CatBoost,XGBoost,309
230,2024-09-17 09:43:57,/artifacts/run_1413/model.pkl,Development,CatBoost,LDA,1413
239,2024-09-17 10:35:13,/artifacts/run_143/model.pkl,Monitoring,CatBoost,LightGBM,143
245,2024-09-17 11:07:39,/artifacts/run_695/model.onnx,Development,CatBoost,Gaussian Mixture,695
256,2024-09-17 12:16:27,/artifacts/run_1074/model.joblib,Development,CatBoost,LDA,1074
262,2024-09-17 12:50:11,/artifacts/run_1497/model.onnx,Evaluation,CatBoost,CatBoost,1497
272,2024-09-17 13:48:36,/artifacts/run_482/model.pkl,Evaluation,CatBoost,XGBoost,482
287,2024-09-17 15:05:43,/artifacts/run_595/weights.h5,Deployment,CatBoost,CatBoost,595
291,2024-09-17 15:30:52,/artifacts/run_641/weights.h5,Monitoring,CatBoost,XGBoost,641
306,2024-09-17 16:38:54,/artifacts/run_1228/model.pkl,Evaluation,CatBoost,LDA,1228
307,2024-09-17 16:48:11,/artifacts/run_1186/model.onnx,Deployment,CatBoost,Decision Tree,1186
317,2024-09-17 17:44:06,/artifacts/run_1065/model.onnx,Deployment,CatBoost,QDA,1065
331,2024-09-17 19:02:26,/artifacts/run_335/model.joblib,Monitoring,CatBoost,Gaussian Mixture,335
340,2024-09-17 19:58:31,/artifacts/run_337/model.onnx,Evaluation,CatBoost,Random Forest,337
347,2024-09-17 20:25:18,/artifacts/run_775/model.joblib,Monitoring,CatBoost,Support Vector Machine,775
359,2024-09-17 21:26:59,/artifacts/run_655/model.onnx,Monitoring,CatBoost,Gradient Boosting,655
364,2024-09-17 21:43:46,/artifacts/run_1176/model.pkl,Evaluation,CatBoost,Logistic Regression,1176
374,2024-09-17 22:48:57,/artifacts/run_1174/model.joblib,Evaluation,CatBoost,Random Forest,1174
379,2024-09-17 23:12:39,/artifacts/run_294/model.pkl,Monitoring,CatBoost,LightGBM,294
395,2024-09-18 00:41:53,/artifacts/run_1042/model.joblib,Development,CatBoost,Logistic Regression,1042
405,2024-09-18 01:47:51,/artifacts/run_852/model.pkl,Development,CatBoost,LightGBM,852
406,2024-09-18 01:52:21,/artifacts/run_885/model.pkl,Deployment,CatBoost,XGBoost,885
420,2024-09-18 03:18:17,/artifacts/run_1212/model.onnx,Evaluation,CatBoost,Naive Bayes,1212
429,2024-09-18 03:55:26,/artifacts/run_656/weights.h5,Development,CatBoost,Random Forest,656
439,2024-09-18 04:53:20,/artifacts/run_633/model.onnx,Evaluation,CatBoost,DBSCAN,633
443,2024-09-18 05:25:40,/artifacts/run_785/model.onnx,Evaluation,CatBoost,Random Forest,785
454,2024-09-18 06:28:39,/artifacts/run_945/model.joblib,Deployment,CatBoost,Logistic Regression,945
461,2024-09-18 07:03:53,/artifacts/run_559/model.onnx,Monitoring,CatBoost,Random Forest,559
