id_run,numero_run,estado,tiempo_inicio,tiempo_fin,id_usuario,version_dataset,id_dataset,id_experimento
1,13,RUNNING,2025-05-03 11:25:16,2025-05-03 11:29:14,75,1,5,52
2,13,FAILED,2025-08-18 14:32:22,2025-08-18 14:36:50,78,4,5,45
3,4,CANCELLED,2025-02-16 13:52:56,2025-02-16 13:53:12,62,2,8,36
4,8,PENDING,2025-04-24 21:28:00,2025-04-24 21:31:30,100,3,7,39
5,5,COMPLETED,2025-03-17 19:08:11,2025-03-17 19:15:39,46,4,6,56
6,9,CANCELLED,2025-03-31 02:58:29,2025-03-31 03:01:22,66,1,1,24
7,2,COMPLETED,2025-02-20 09:21:18,2025-02-20 09:24:01,93,1,5,77
8,7,PENDING,2025-06-23 22:27:10,2025-06-23 22:30:25,84,2,8,64
9,13,FAILED,2025-07-23 03:16:09,2025-07-23 03:20:26,2,3,4,43
10,11,RUNNING,2025-06-17 15:10:04,2025-06-17 15:11:06,38,3,1,46
11,11,PENDING,2025-08-02 08:19:48,2025-08-02 08:21:40,97,3,2,28
12,3,RUNNING,2025-03-15 16:24:28,2025-03-15 16:30:17,12,4,6,44
13,8,CANCELLED,2025-05-14 07:26:38,2025-05-14 07:33:01,6,1,4,22
14,7,FAILED,2025-05-19 16:59:39,2025-05-19 17:05:32,72,1,5,33
15,14,COMPLETED,2025-08-06 09:20:57,2025-08-06 09:22:27,29,4,7,31
16,13,CANCELLED,2025-08-03 20:16:12,2025-08-03 20:23:35,39,2,7,15
17,13,PENDING,2025-07-02 19:03:31,2025-07-02 19:03:49,88,3,7,50
18,13,COMPLETED,2025-06-18 12:32:09,2025-06-18 12:34:08,68,2,3,86
19,5,RUNNING,2025-05-05 22:04:56,2025-05-05 22:08:03,4,1,1,70
20,8,FAILED,2025-02-08 22:05:12,2025-02-08 22:09:18,54,2,3,29
21,13,COMPLETED,2025-08-14 05:40:20,2025-08-14 05:43:37,43,2,2,59
22,1,FAILED,2025-01-30 05:51:42,2025-01-30 05:54:31,81,1,4,1
23,10,RUNNING,2025-06-12 11:05:55,2025-06-12 11:06:32,48,1,8,41
24,14,CANCELLED,2025-08-15 08:57:54,2025-08-15 09:01:44,99,2,2,69
25,10,PENDING,2025-04-27 04:26:17,2025-04-27 04:26:26,9,4,6,67
26,12,COMPLETED,2025-07-03 19:28:31,2025-07-03 19:36:07,82,3,4,75
27,5,RUNNING,2025-03-24 20:21:08,2025-03-24 20:23:55,86,3,3,57
28,10,FAILED,2025-06-07 13:21:42,2025-06-07 13:23:32,45,2,3,65
29,3,CANCELLED,2025-02-18 03:33:08,2025-02-18 03:38:39,57,3,6,7
30,4,PENDING,2025-02-28 18:04:20,2025-02-28 18:09:01,92,1,2,18
31,3,CANCELLED,2025-02-19 22:06:52,2025-02-19 22:12:36,40,4,6,85
32,8,PENDING,2025-04-29 14:48:38,2025-04-29 14:53:52,60,2,7,14
33,12,COMPLETED,2025-07-29 15:13:10,2025-07-29 15:15:57,74,3,5,68
34,13,FAILED,2025-07-23 21:13:44,2025-07-23 21:15:05,64,1,6,47
35,5,RUNNING,2025-03-09 07:12:49,2025-03-09 07:20:19,63,3,4,79
36,13,CANCELLED,2025-06-24 20:54:44,2025-06-24 20:56:36,33,1,4,83
37,7,FAILED,2025-03-15 08:24:02,2025-03-15 08:28:11,26,1,6,63
38,12,PENDING,2025-07-20 08:38:06,2025-07-20 08:43:44,71,1,3,60
39,11,COMPLETED,2025-06-04 02:21:36,2025-06-04 02:22:14,94,3,2,96
40,2,RUNNING,2025-02-25 08:09:11,2025-02-25 08:15:53,44,4,2,94
41,9,FAILED,2025-06-04 21:30:56,2025-06-04 21:33:43,20,3,8,76
42,13,RUNNING,2025-08-19 00:34:27,2025-08-19 00:37:25,25,4,3,38
